"","Gene.Ontology.IDs","Gene.Ontology..GO.","Gene.Ontology..biological.process.","Gene.Ontology..molecular.function.","Gene.Ontology..cellular.component."
"P0A799","GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0043531; GO:0097216","cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; guanosine tetraphosphate binding [GO:0097216]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]","gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]","ADP binding [GO:0043531]; ATP binding [GO:0005524]; guanosine tetraphosphate binding [GO:0097216]; phosphoglycerate kinase activity [GO:0004618]","cytosol [GO:0005829]"
"P08839","GO:0005829; GO:0008965; GO:0009401; GO:0015764; GO:0016301; GO:0042802; GO:0046872","cytosol [GO:0005829]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; N-acetylglucosamine transport [GO:0015764]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","N-acetylglucosamine transport [GO:0015764]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]","cytosol [GO:0005829]"
